PC1,PC2
-0.60214489,-0.614350317
-0.763501836,-0.926017814
-0.699357755,0.503768272
-0.431701614,0.97979772
-0.157267088,0.489023764
0.277848966,3.53225928
2.552638852,-0.811537347
1.754522232,-1.12307481
2.472389328,-0.173665309
-0.820913359,1.137277478
-0.794658631,-0.684231457
-0.63128215,-0.729216032
-0.575488025,-0.898443836
-0.572287493,-0.98872362
-0.63326749,-0.271746671
-0.654800436,0.572373925
-0.33299802,0.649027683
0.429947786,2.898554958
1.896386271,0.203754706
1.459362794,-1.920862752
1.720018332,-0.473505091
-1.2415654,-0.38787204
-1.309144751,-1.345445229
-0.611064939,-0.930435682
-0.54998669,-0.938840458
-0.536145471,-0.6744276
-1.039434644,0.054411747
-0.624471746,0.307316092
-0.349809897,1.953453527
0.093362987,4.898201303
1.954895948,0.224215281
3.25153334,-1.096282123
0.9118198,-1.027434594
-0.405919296,0.329973249
-0.786469884,0.143089923
-0.659831159,-0.458225901
-0.775078444,-0.964636615
-0.692552486,-0.360491735
-0.838591212,-0.061260601
-0.640388648,0.36702305
-0.313354274,1.16712881
0.267984089,2.499130174
1.819054824,1.978599207
2.485262492,0.783946892
1.680336228,1.23453379
0.505627754,1.275782829
-0.967932493,-0.431512299
-0.691998773,-0.935036072
-0.551157203,-0.426692519
-0.657347046,-0.840900578
-0.574454046,0.478034568
-0.8141762,0.553547647
-0.075677488,1.259142498
0.191617699,2.872920806
2.46076686,-0.889451235
2.505189153,-1.560183412
1.951979285,-0.578837015
-0.990261433,-0.779395893
-0.695797265,-0.58613401
-0.777353269,-1.010572237
-0.458889073,-0.766903882
-0.664831898,-0.100712087
-0.966087958,-0.129359463
-0.616798509,0.923645082
-0.300619895,0.952813901
0.899198442,3.023454427
1.660478325,0.651268395
2.268486509,-0.268247263
1.646802665,-0.286935805
-0.784858332,0.050425289
-0.901116522,-0.691677375
-0.615326369,-0.853839355
-0.604056451,-0.875712252
-0.674500206,-0.871983478
-0.81215049,-0.087902471
-0.653742273,0.738825183
-0.039407845,1.3275713
0.41571041,1.813827168
0.932104696,1.002371595
2.031062345,-1.236648804
1.265557102,-0.473425946
0.055080758,-0.323492015
-0.903363992,-0.669144776
-0.508483445,-0.720590049
-0.48349628,-0.794298313
-0.42314114,-0.381029189
-0.358960235,0.270787683
-0.58885263,0.625610906
-0.45789226,0.854481541
0.346717998,2.774188762
1.540069904,-0.924243636
2.723367076,-1.034801623
2.115899769,-0.370248391
-0.906150679,-0.795105558
-0.849578589,-0.868436954
-0.55452629,-0.524103691
-0.498293018,-0.400683377
-0.596436592,-0.345205729
-0.480406447,-0.162645069
-0.227060247,0.699787419
0.018994375,1.575996574
1.072338385,3.051310479
1.645697159,2.521139932
1.498302349,1.376739353
0.747715881,2.766513585
-0.521612267,1.438860066
-0.891132476,0.024516973
-0.823160137,-1.299262344
-0.697232899,-1.038943868
-0.808965832,-0.835494874
-0.874784514,-0.030601462
-0.526075226,1.019317955
-0.362430807,1.119649928
0.805595429,1.977756332
1.864400956,-0.870474043
2.845524278,-1.703578005
1.423617471,-0.744820549
-0.030340342,0.647347314
-0.773728851,0.030547417
-0.626857954,-0.796993188
-0.644335079,-0.729304859
-0.625264557,-0.232462396
-1.057579471,-0.35437744
-0.934719226,0.205250075
-0.313160328,2.583536664
-0.350101531,0.621205206
1.831741391,-0.642380257
2.057526145,-1.561739281
1.166164072,0.194262611
-1.04880217,0.625230553
-0.681519449,-0.256977427
-0.487776604,-0.774457518
-0.476867675,-0.621238228
-0.502824408,0.16988701
-0.509817954,0.361531639
-0.83091314,0.263016425
-0.16275548,0.549940384
-0.012917286,2.716530573
1.861303797,-0.019396235
2.151788194,-0.696972058
0.724525659,0.183480077
-0.902246058,-0.36101282
-0.771448367,-0.771431169
-0.471464581,-0.458072538
-0.566207623,-1.09904242
-0.588503707,-0.328382541
-0.759470709,0.331606264
-0.581883593,1.015279696
0.012831655,1.841814534
0.065711737,1.637491969
1.039008941,0.242662481
1.153299676,-1.339129858
0.498743147,-0.323970684
-0.507969819,-0.029199787
-0.911125367,-0.962753249
-0.576813302,-0.410557925
-0.574094319,-1.054692415
-0.668605672,-0.738721442
-0.693510574,0.460130677
-0.643097874,0.161835019
-0.494649299,0.468467069
0.279915348,2.476947423
1.442659753,-0.027634734
1.905203661,0.144381027
0.595619057,0.506234545
-0.786848346,0.234469514
-0.732640884,-0.926193402
-0.519766259,-0.428602656
-0.58669953,-0.924824863
-0.571358285,-0.924686312
-0.945588935,0.266174548
-0.720013905,0.230697924
-0.606488031,1.33735733
-0.39244871,1.799242578
2.226843732,0.460121604
1.916502036,-1.060646559
0.946607602,0.932363709
-0.40155627,0.002930473
-0.761182501,-0.698558001
-0.507264948,-0.50883665
-0.543673768,-1.054380439
-0.714992982,-0.059622238
-0.790701524,0.384960653
-0.496302199,0.228165832
-0.148568789,1.002406184
-0.060748077,1.549087828
2.080247373,0.242163887
2.024603073,-1.454905291
1.383662882,-0.752896539
-0.866068159,-0.093268866
-0.901112729,-0.12184731
-0.553770531,-0.600588115
-0.4790995,-0.871719465
-0.687685031,-0.086100984
-0.873990207,0.531009099
-0.750827993,0.481606613
0.076489961,0.865707183
0.37110251,1.603003439
0.881420967,-1.203131813
1.717601757,-1.596529039
1.220986672,-1.31509643
0.566303556,0.457938143
-0.93341708,0.048621305
-0.565179158,-1.06896116
-0.616949174,-0.765376196
-0.634327448,-0.751700268
-0.738680292,-0.837309341
-0.94405831,-0.149661456
-0.077879732,0.816113195
0.015986945,0.532476478
1.479153058,-0.983325803
1.849863318,-1.26862364
0.761245613,-0.146000048
-0.908522953,0.678222128
-0.853577506,-1.171835406
-0.474098122,-0.784488863
-0.437948555,-0.876884561
-0.699630585,-0.541429123
-0.365309551,0.100362876
-0.094182672,0.682748174
0.148476563,2.103901971
0.395161774,1.016254255
1.360365015,-0.497659698
1.566019096,-1.708205726
1.155924394,-0.817313277
-0.523381003,0.050290033
-0.786315597,-0.71056039
-0.504228623,-0.602439044
-0.704889516,-1.352682085
-0.751468626,-1.073549874
-0.594982832,0.193766417
-0.610878356,0.117549943
0.128101399,1.324321235
0.527356887,2.638703872
1.40287891,1.222856677
1.908233392,-0.442399915
1.07890101,1.275193055
-0.692386998,1.576949451
-0.727105538,0.165818358
-0.534487146,-1.07035208
-0.437303143,-0.608597881
-0.614007235,-0.317686091
-0.718223887,-0.121773465
-0.611373171,0.507438488
-0.484797429,1.515914825
0.274101587,1.678131102
0.922615073,0.655933954
2.489500456,-0.463072503
0.657859349,0.492486328
-0.381801793,0.763220198
-0.986888125,-0.410021278
-0.515153654,-0.876211016
-0.472980277,-1.06639049
-0.548099167,-0.615301625
-0.849316263,0.396792298
-0.51348114,-0.192956213
-0.183944965,1.77424944
0.387968419,1.636327898
1.69618707,0.218246933
1.456093913,-0.885558606
0.429681635,0.345945593
-1.007521393,0.259648885
-0.779142383,-0.852723591
-0.580882622,-0.873367435
-0.694338331,-1.27953787
-0.558810533,-0.278373494
-0.689072037,0.184156621
-0.499722457,0.149983301
-0.397908584,0.735730341
0.029961185,1.845020449
0.686144417,-0.28877628
1.561900933,-1.324660039
0.547750734,-1.134359776
-0.822422044,0.003341037
-0.773567805,-1.019156384
-0.556582036,-1.00837309
-0.411116998,-0.872330909
-0.382091558,-0.655693242
-0.491111966,-0.762276348
-0.796151354,-0.031953963
0.052602318,1.367064014
0.079068758,1.270747332
1.390740556,-0.825464475
0.857415329,-1.610920547
0.365268346,-0.164491166
-1.312415503,-1.576441218
-0.858586465,-0.849013546
-0.66163481,-0.64027113
